"GO ID","Term","Contributing genes","Immediate parent GO term(s)","Annotated","In list","Expected","p (weight01)","p (classic)"
"GO:0032880","regulation of protein localization","ath-1, pry-1, spe-6","GO:0008104 (intracellular protein localization); GO:0032879 (regulation of localization)",147,3,0.23,0.0045,0.0015
"GO:0006893","Golgi to plasma membrane transport","ath-1, tom-1","GO:0006892 (post-Golgi vesicle-mediated transport); GO:0098876 (vesicle-mediated transport to the plasma membrane)",19,2,0.03,0.0177,4e-04
"GO:0098542","defense response to other organism","akir-1, sin-3","GO:0006952 (defense response); GO:0051707 (response to other organism)",345,2,0.55,0.0184,0.1028
"GO:0010605","negative regulation of macromolecule metabolic process","gba-4, sin-3","GO:0009892 (negative regulation of metabolic process); GO:0043170 (macromolecule metabolic process); GO:0060255 (regulation of macromolecule metabolic process)",540,2,0.86,0.0477,0.2115
"GO:0099161","regulation of presynaptic dense core granule exocytosis","tom-1","GO:0099171 (presynaptic modulation of chemical synaptic transmission); GO:0099525 (presynaptic dense core vesicle exocytosis); GO:1903233 (regulation of calcium ion-dependent exocytosis of neurotransmitter); GO:1905413 (regulation of dense core granule exocytosis)",4,1,0.01,0.0064,0.0064
"GO:0016082","synaptic vesicle priming","tom-1","GO:0016079 (synaptic vesicle exocytosis); GO:0065003 (protein-containing complex assembly); GO:0140029 (exocytic process)",6,1,0.01,0.0095,0.0095
"GO:0006680","glucosylceramide catabolic process","gba-4","GO:0006678 (glucosylceramide metabolic process); GO:0046477 (glycosylceramide catabolic process)",6,1,0.01,0.0095,0.0095
"GO:0015937","coenzyme A biosynthetic process","pnk-1","GO:0015936 (coenzyme A metabolic process); GO:0044272 (sulfur compound biosynthetic process); GO:0072522 (purine-containing compound biosynthetic process); GO:1901293 (nucleoside phosphate biosynthetic process)",6,1,0.01,0.0095,0.0095
"GO:0045089","positive regulation of innate immune response","akir-1","GO:0002833 (positive regulation of response to biotic stimulus); GO:0031349 (positive regulation of defense response); GO:0032103 (positive regulation of response to external stimulus); GO:0045087 (innate immune response); GO:0045088 (regulation of innate immune response); GO:0050778 (positive regulation of immune response)",6,1,0.01,0.0095,0.0095
"GO:0051224","negative regulation of protein transport","ath-1","GO:0015031 (protein transport); GO:0051051 (negative regulation of transport); GO:0051223 (regulation of protein transport); GO:1903828 (negative regulation of protein localization); GO:1904950 (negative regulation of establishment of protein localization)",7,1,0.01,0.0111,0.0111
"GO:1902075","cellular response to salt","tom-1","GO:0070887 (cellular response to chemical stimulus); GO:1902074 (response to salt)",7,1,0.01,0.0111,0.0111
"GO:0043001","Golgi to plasma membrane protein transport","ath-1","GO:0006893 (Golgi to plasma membrane transport); GO:0015031 (protein transport); GO:0061951 (establishment of protein localization to plasma membrane); GO:0072659 (protein localization to plasma membrane)",7,1,0.01,0.0111,0.0111
"GO:0098734","macromolecule depalmitoylation","ath-1","GO:0098732 (macromolecule deacylation)",8,1,0.01,0.0127,0.0127
"GO:0035641","locomotory exploration behavior","pdfr-1","GO:0007626 (locomotory behavior); GO:0035640 (exploration behavior)",9,1,0.01,0.0143,0.0143
"GO:0016081","synaptic vesicle docking","tom-1","GO:0006904 (vesicle docking involved in exocytosis); GO:0016079 (synaptic vesicle exocytosis)",9,1,0.01,0.0143,0.0143
"GO:1903076","regulation of protein localization to plasma membrane","ath-1","GO:0072659 (protein localization to plasma membrane); GO:1904375 (regulation of protein localization to cell periphery); GO:1905475 (regulation of protein localization to membrane)",9,1,0.01,0.0143,0.0143
"GO:0007060","male meiosis chromosome segregation","spe-6","GO:0007140 (male meiotic nuclear division); GO:0045132 (meiotic chromosome segregation)",11,1,0.02,0.0174,0.0174
"GO:0090090","negative regulation of canonical Wnt signaling pathway","pry-1","GO:0030178 (negative regulation of Wnt signaling pathway); GO:0060070 (canonical Wnt signaling pathway); GO:0060828 (regulation of canonical Wnt signaling pathway)",14,1,0.02,0.0221,0.0221
"GO:0051177","meiotic sister chromatid cohesion","akir-1","GO:0007062 (sister chromatid cohesion)",16,1,0.03,0.0252,0.0252
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","pdfr-1","GO:0007188 (adenylate cyclase-modulating G protein-coupled receptor signaling pathway)",18,1,0.03,0.0283,0.0283
"GO:0048515","spermatid differentiation","spe-6","GO:0003006 (developmental process involved in reproduction); GO:0007283 (spermatogenesis); GO:0022412 (cellular process involved in reproduction in multicellular organism); GO:0030154 (cell differentiation)",20,1,0.03,0.0314,0.0314
"GO:0009308","amine metabolic process","mig-38","GO:0008152 (metabolic process)",22,1,0.04,0.0345,0.0345
"GO:0016241","regulation of macroautophagy","gba-4","GO:0010506 (regulation of autophagy); GO:0016236 (macroautophagy)",23,1,0.04,0.0361,0.0361
"GO:0051307","meiotic chromosome separation","spe-6","GO:0045132 (meiotic chromosome segregation); GO:0051304 (chromosome separation); GO:1903046 (meiotic cell cycle process)",23,1,0.04,0.0361,0.0361
"GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","pry-1","GO:0032434 (regulation of proteasomal ubiquitin-dependent protein catabolic process); GO:0043161 (proteasome-mediated ubiquitin-dependent protein catabolic process); GO:1901800 (positive regulation of proteasomal protein catabolic process); GO:2000060 (positive regulation of ubiquitin-dependent protein catabolic process)",27,1,0.04,0.0422,0.0422
"GO:0090597","nematode male tail mating organ morphogenesis","sin-3","GO:0048808 (male genitalia morphogenesis); GO:0090596 (sensory organ morphogenesis)",27,1,0.04,0.0422,0.0422
"GO:0032006","regulation of TOR signaling","gba-4","GO:0031929 (TOR signaling); GO:1902531 (regulation of intracellular signal transduction)",28,1,0.04,0.0437,0.0437
"GO:0030431","sleep","pdfr-1","GO:0032501 (multicellular organismal process)",32,1,0.05,0.0498,0.0498
